President,File,Term,Party,Date,Words,Win
George Washington,GeorgeWashington,NA,NA,"September 19, 1796",6073,Yes
Andrew Jackson,AndrewJackson,NA,Democratic,"March 4, 1837",8247,Yes
Harry S. Truman,HarrySTruman,NA,Democratic,15-Jan-53,3748,Yes
Dwight D. Eisenhower,DwightDEisenhower,NA,Republican,17-Jan-61,1843,Yes
Lyndon B. Johnson *(1),LyndonBJohnson,NA,Democratic,14-Jan-69,4146,Yes
Richard Nixon *(2),RichardNixon,NA,Republican,8-Aug-74,1796,Yes
Gerald R. Ford *(3),GeraldRFord,NA,Republican,12-Jan-77,4724,Yes
Jimmy Carter,JimmyCarter,NA,Democratic,14-Jan-81,2167,Yes
Ronald Reagan,RonaldReagan,NA,Republican,11-Jan-89,3305,Yes
George Bush,GeorgeBush,NA,Republican,5-Jan-93,3298,Yes
William J. Clinton,WilliamJClinton,NA,Democratic,18-Jan-01,1109,Yes
George W. Bush,GeorgeWBush,NA,Republican,15-Jan-09,1862,Yes
Barack Obama,BarackObama,NA,Democratic,10-Jan-17,4751,Yes
Donald J. Trump,DonaldJTrump,NA,Republican,19-Jan-21,2773,Yes
